id,brand_id,name,released_at,body,os,storage,display_size,display_resolution,camera_pixels,video_pixels,ram,chipset,battery_size,battery_type,created_at,updated_at
9489,4,Samsung Galaxy A50,"Released 2019, March 18","166g, 7.7mm thickness","Android 9.0, up to Android 11, One UI 3.0","64GB/128GB storage, microSDXC","6.4""",1080x2340 pixels,25 MP         ,1080p,4/6 GB RAM ,Exynos 9610,4000 mAh ,Li-Po,10/9/2021 00:20:21,10/9/2021 00:20:21
9514,4,Samsung Galaxy A30,"Released 2019, March","165g, 7.7mm thickness","Android 9.0, up to Android 10, One UI 2.0","32GB/64GB storage, microSDXC","6.4""",1080x2340 pixels,16 MP         ,1080p,3/4 GB RAM ,Exynos 7904,4000 mAh ,Li-Po,10/9/2021 00:21:24,10/9/2021 00:21:24
9515,4,Samsung Galaxy A10,"Released 2019, March 19","168g, 7.9mm thickness","Android 9.0, up to Android 10, One UI 2.0","32GB storage, microSDXC","6.2""",720x1520 pixels,13 MP         ,1080p,2/4 GB RAM ,Exynos 7884,3400 mAh ,Li-Ion,10/9/2021 00:21:29,10/9/2021 00:21:29
9516,4,Samsung Galaxy Tab S5e,"Released 2019, April","400g, 5.5mm thickness","Android 9.0, up to Android 11, One UI 3.1","64GB/128GB storage, microSDXC","10.5""",1600x2560 pixels,13 MP         ,2160p,4/6 GB RAM ,Snapdragon 670,7040 mAh ,Li-Po,10/9/2021 00:21:31,10/9/2021 00:21:31
9517,4,Samsung Galaxy Tab A 10.1 (2019),"Released 2019, April","469g, 7.5mm thickness","Android 9.0, up to Android 11, One UI 3.0","16GB/64GB/128GB storage, microSDXC","10.1""",1200x1920 pixels,8 MP         ,1080p,2/3 GB RAM ,Exynos 7904,6150 mAh ,Li-Po,10/9/2021 00:21:34,10/9/2021 00:21:34
9523,4,Samsung Galaxy S10 5G,"Released 2019, April","198g, 7.9mm thickness","Android 9.0, up to Android 11, One UI 3.0","256GB/512GB storage, no card slot","6.7""",1440x3040 pixels,16 MP         ,2160p,8 GB RAM ,Exynos 9820,4500 mAh ,Li-Ion,10/9/2021 00:21:50,10/9/2021 00:21:50
9524,4,Samsung Galaxy Watch Active,"Released 2019, April","25g, 10.5mm thickness",Tizen OS 4.0,"4GB 768MB RAM storage, no card slot","1.1""",360x360 pixels,NO         ,No video recorder,768 MB RAM ,Exynos 9110,230 mAh ,Li-Ion,10/9/2021 00:21:52,10/9/2021 00:21:52
9551,4,Samsung Galaxy A60,"Released 2019, June","168g, 7.9mm thickness","Android 9.0, up to Android 11, One UI 3.0","64GB/128GB storage, microSDXC","6.3""",1080x2340 pixels,32 MP         ,2160p,6 GB RAM ,Snapdragon 675,3500 mAh ,Li-Po,10/9/2021 00:23:01,10/9/2021 00:23:01
9571,4,Samsung Galaxy A2 Core,"Released 2019, April","142g, 9.1mm thickness",Android 8.0 Oreo,"8GB/16GB storage, microSDXC","5.0""",540x960 pixels,5 MP         ,1080p,1 GB RAM ,Exynos 7870 Octa,2600 mAh ,Li-Ion,10/9/2021 00:23:53,10/9/2021 00:23:53
9575,4,Samsung Galaxy A20,"Released 2019, April 05","169g, 7.8mm thickness","Android 9.0, up to Android 11, One UI 3.1","32GB storage, microSDXC","6.4""",720x1560 pixels,13 MP         ,1080p,3 GB RAM ,Exynos 7884,4000 mAh ,Li-Po,10/9/2021 00:24:05,10/9/2021 00:24:05
9577,4,Samsung Galaxy A40,"Released 2019, April","140g, 7.9mm thickness",Android 9.0,"64GB/128GB storage, microSDXC","5.9""",1080x2340 pixels,16 MP         ,1080p,4 GB RAM ,Exynos 7904,3100 mAh ,Li-Po,10/9/2021 00:24:10,10/9/2021 00:24:10
9581,4,Samsung Galaxy A70,"Released 2019, May 01","183g, 7.9mm thickness","Android 9.0, up to Android 11, One UI 3.1","128GB storage, microSDXC","6.7""",1080x2400 pixels,32 MP         ,2160p,6/8 GB RAM ,Snapdragon 675,4500 mAh ,Li-Po,10/9/2021 00:24:21,10/9/2021 00:24:21
9586,4,Samsung Galaxy Tab A 8.0 & S Pen (2019),"Released 2019, April","325g, 8.9mm thickness","Android 9.0, up to 11, One UI Core 3.1","32GB storage, microSDXC","8.0""",1200x1920 pixels,8 MP         ,1080p,3 GB RAM ,Exynos 7904,4200 mAh ,Li-Po,10/9/2021 00:24:37,10/9/2021 00:24:37
9594,4,Samsung Galaxy A80,"Released 2019, May","220g, 9.3mm thickness","Android 9.0, up to Android 10, One UI 2.0","128GB storage, no card slot","6.7""",1080x2400 pixels,48 MP         ,2160p,8 GB RAM ,Snapdragon 730,3700 mAh ,Li-Po,10/9/2021 00:24:58,10/9/2021 00:24:58
9596,4,Samsung Galaxy A20e,"Released 2019, May","141g, 8.4mm thickness","Android 9.0, up to Android 10, One UI 2.0","32GB storage, microSDXC","5.8""",720x1560 pixels,13 MP         ,1080p,3 GB RAM ,Exynos 7884,3000 mAh ,Li-Po,10/9/2021 00:25:05,10/9/2021 00:25:05
