Code,Name,Product Information,Price,Saving Price,Review Count
1818779,"Samsung Galaxy S23 Ultra Phantom Black 6.8"" 256GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.8 Inches
Storage: 256GB
Quadruple 12, 200, 10 and 10 Megapixel Rear camera",£999.00,£250,1
1829081,"Samsung Galaxy A14 4G Awesome Silver  6.6"" 64GB 4G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.6 Inches
Storage: 64GB
Triple 50, 5 and 2 Megapixel Rear camera",£139.00,£40,1
1828880,"Samsung Galaxy A54 Awesome Black 6.4"" 128GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.4 Inches
Storage: 128GB
Triple 50, 12 and 5 Megapixel Rear camera",£399.00,£50,0
1828339,"Samsung Galaxy A34 Awesome Black 6.6"" 256GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.6 Inches
Storage: 256GB
Triple 48, 8 and 5 Megapixel Rear camera",£339.00,£60,0
1828875,"Samsung Galaxy A34 Awesome Lime 6.6"" 128GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.6 Inches
Storage: 128GB
Triple 48, 8 and 5 Megapixel Rear camera",£299.00,£80,2
1503492,"CAT S62 Pro Black 5.7"" 128GB 4G IP68 Dual SIM Unlocked & SIM Free Smartphone","Android 10 Operating System
Screen: 5.7 Inches
Storage: 128GB
Dual 12 Megapixel Rear camera",£519.00,0,0
1748898,"Samsung Galaxy A13 V2 Black 6.6"" 64GB 4G Unlocked & SIM Free Smartphone","Android 12 Operating System
Screen: 6.6 Inches
Storage: 64GB
Quadruple 50, 5, 2 and 2 Megapixel Rear camera",£159.00,£10,24
1829082,"Samsung Galaxy A14 5G Awesome Silver  6.6"" 64GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.6 Inches
Storage: 64GB
Triple 50, 2 and 2 Megapixel Rear camera",£199.00,£20,1
1828335,"Samsung Galaxy A14 5G Awesome Lime 6.6"" 64GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.6 Inches
Storage: 64GB
Triple 50, 2 and 2 Megapixel Rear camera",£199.00,£20,0
1818780,"Samsung Galaxy S23 Ultra Green 6.8"" 256GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.8 Inches
Storage: 256GB
Quadruple 12, 200, 10 and 10 Megapixel Rear camera",£999.00,£250,1062
